id_empresa,nombre_empresa
1,a360 inc. panama
2,alorica
3,arka servicios de recursos humanos
4,asesoría legal
5,automotora autostar panamá / grupo kauffman / mercedes benz
6,bac credomatic
7,banco general
8,banco pichincha
9,banesco panamá
10,bg metal trade inc.
11,bi bank
12,"c.g de haseth y cía, s.a."
13,cemento bayano
14,cochez y cía
15,confidencial
16,connect international
17,credicorp bank
18,dash bpo
19,desconocido
20,el machetazo
21,"empresa líder en el negocio hotelería, finanzas , bienes raíces y construcción"
22,empresa panameña de alimentos
23,financiera instacredit
24,global bank
25,group of traders and latinoamerican investors s.a.
26,grupo david
27,grupo melo
28,grupo stt
29,halliburton
30,humanidea
31,infosgroup
32,konzerta selecta
33,medcom
34,motta internacional
35,más móvil
36,optima consultores
37,personal soft
38,platinum brands
39,search latinoamérica
40,st. georges bank
41,superintendencia de bancos de panamá
42,supermercados xtra
43,tiendas por departamento
44,titán
45,truckslogic panamá
