id_tecnologia,tecnologia,categoria
1,.net,framework
2,angular,framework
3,aws,cloud_devops
4,azure,cloud_devops
5,c#,lenguaje
6,css,otro
7,django,framework
8,docker,cloud_devops
9,excel,otro
10,fastapi,framework
11,flask,framework
12,gcp,cloud_devops
13,git,cloud_devops
14,go,lenguaje
15,graphql,otro
16,html,otro
17,java,lenguaje
18,javascript,lenguaje
19,jenkins,cloud_devops
20,kotlin,lenguaje
21,kubernetes,cloud_devops
22,laravel,framework
23,linux,cloud_devops
24,mariadb,base_datos
25,mongodb,base_datos
26,mysql,base_datos
27,node.js,framework
28,oracle,base_datos
29,php,lenguaje
30,postgresql,base_datos
31,power bi,otro
32,python,lenguaje
33,react,framework
34,redis,base_datos
35,rest,otro
36,ruby,lenguaje
37,spring,framework
38,sql,otro
39,sql server,base_datos
40,sqlite,base_datos
41,swift,lenguaje
42,tableau,otro
43,terraform,cloud_devops
44,typescript,lenguaje
45,vue,framework
